,GDP,CPI,PPI,UnemploymentRate,ConsumerConfidence,Fed-Funds
1913-01-01,,,12.033,,,
1913-04-01,,,11.933,,,
1913-07-01,,,12.067,,,
1913-10-01,,,12.067,,,
1914-01-01,,,11.767,,,
1914-04-01,,,11.633,,,
1914-07-01,,,11.9,,,
1914-10-01,,,11.667,,,
1915-01-01,,,11.8,,,
1915-04-01,,,11.833,,,
1915-07-01,,,11.833,,,
1915-10-01,,,12.4,,,
1916-01-01,,,13.567,,,
1916-04-01,,,14.2,,,
1916-07-01,,,14.7,,,
1916-10-01,,,16.533,,,
1917-01-01,,,18.033,,,
1917-04-01,,,20.5,,,
1917-07-01,,,21.333,,,
1917-10-01,,,21.167,,,
1918-01-01,,,21.5,,,
1918-04-01,,,22.133,,,
1918-07-01,,,23.2,,,
1918-10-01,,,23.5,,,
1919-01-01,,,22.733,,,
1919-04-01,,,23.2,,,
1919-07-01,,,24.5,,,
1919-10-01,,,25.1,,,
1920-01-01,,,27.2,,,
1920-04-01,,,28.667,,,
1920-07-01,,,27.733,,,
1920-10-01,,,22.9,,,
1921-01-01,,,18.467,,,
1921-04-01,,,16.567,,,
1921-07-01,,,16.1,,,
1921-10-01,,,16.133,,,
1922-01-01,,,15.9,,,
1922-04-01,,,16.433,,,
1922-07-01,,,17.067,,,
1922-10-01,,,17.267,,,
1923-01-01,,,17.8,,,
1923-04-01,,,17.567,,,
1923-07-01,,,17.033,,,
1923-10-01,,,17.0,,,
1924-01-01,,,17.133,,,
1924-04-01,,,16.533,,,
1924-07-01,,,16.633,,,
1924-10-01,,,17.167,,,
1925-01-01,,,17.833,,,
1925-04-01,,,17.567,,,
1925-07-01,,,17.9,,,
1925-10-01,,,17.867,,,
1926-01-01,,,17.567,,,
1926-04-01,,,17.3,,,
1926-07-01,,,17.133,,,
1926-10-01,,,17.0,,,
1927-01-01,,,16.5,,,
1927-04-01,,,16.233,,,
1927-07-01,,,16.4,,,
1927-10-01,,,16.633,,,
1928-01-01,,,16.533,,,
1928-04-01,,,16.733,,,
1928-07-01,,,16.867,,,
1928-10-01,,,16.567,,,
1929-01-01,,,16.5,,,
1929-04-01,,,16.4,,,
1929-07-01,,,16.6,,,
1929-10-01,,,16.2,,,
1930-01-01,,,15.7,,,
1930-04-01,,,15.267,,,
1930-07-01,,,14.5,,,
1930-10-01,,,14.0,,,
1931-01-01,,,13.267,,,
1931-04-01,,,12.633,,,
1931-07-01,,,12.367,,,
1931-10-01,,,12.0,,,
1932-01-01,,,11.467,,,
1932-04-01,,,11.133,,,
1932-07-01,,,11.2,,,
1932-10-01,,,10.967,,,
1933-01-01,,,10.4,,,
1933-04-01,,,10.8,,,
1933-07-01,,,12.033,,,
1933-10-01,,,12.267,,,
1934-01-01,,,12.6,,,
1934-04-01,,,12.767,,,
1934-07-01,,,13.167,,,
1934-10-01,,,13.233,,,
1935-01-01,,,13.667,,,
1935-04-01,,,13.8,,,
1935-07-01,,,13.833,,,
1935-10-01,,,13.933,,,
1936-01-01,,,13.833,,,
1936-04-01,,,13.633,,,
1936-07-01,,,13.967,,,
1936-10-01,,,14.233,,,
1937-01-01,,,14.933,,,
1937-04-01,,,15.1,,,
1937-07-01,,,15.133,,,
1937-10-01,,,14.4,,,
1938-01-01,,,13.833,,,
1938-04-01,,,13.5,,,
1938-07-01,,,13.5,,,
1938-10-01,,,13.367,,,
1939-01-01,,,13.267,,,
1939-04-01,,,13.067,,,
1939-07-01,,,13.167,,,
1939-10-01,,,13.667,,,
1940-01-01,,,13.6,,,
1940-04-01,,,13.467,,,
1940-07-01,,,13.4,,,
1940-10-01,,,13.7,,,
1941-01-01,,,13.933,,,
1941-04-01,,,14.667,,,
1941-07-01,,,15.567,,,
1941-10-01,,,16.0,,,
1942-01-01,,,16.667,,,
1942-04-01,,,17.0,,,
1942-07-01,,,17.1,,,
1942-10-01,,,17.3,,,
1943-01-01,,,17.667,,,
1943-04-01,,,17.9,,,
1943-07-01,,,17.8,,,
1943-10-01,,,17.767,,,
1944-01-01,,,17.833,,,
1944-04-01,,,17.933,,,
1944-07-01,,,17.9,,,
1944-10-01,,,17.967,,,
1945-01-01,,,18.1,,,
1945-04-01,,,18.267,,,
1945-07-01,,,18.2,,,
1945-10-01,,,18.333,,,
1946-01-01,,,18.567,,,
1946-04-01,,,19.167,,,
1946-07-01,,,21.7,,,
1946-10-01,,,23.833,,,
1947-01-01,2034.45,21.7,24.833,,,
1947-04-01,2029.024,22.01,25.033,,,
1947-07-01,2024.834,22.49,25.667,,,
1947-10-01,2056.508,23.127,26.767,,,
1948-01-01,2087.442,23.617,27.367,3.7,,
1948-04-01,2121.899,23.993,27.533,3.7,,
1948-07-01,2134.056,24.397,28.1,3.8,,
1948-10-01,2136.44,24.173,27.733,3.8,,
1949-01-01,2107.001,23.943,26.967,4.7,,
1949-04-01,2099.814,23.917,26.267,5.9,,
